,query,initial label,predicted label
8,"can you tell me how i would say, 'more bread please' in french",balance,translate
22,what do you call a subway if you were english,translate,definition
23,how would i say if i were english subway,translate,change_accent
43,what spanish word means hello,damaged_card,translate
45,translate english to french hello,spelling,translate
48,what's local slang for goodbye in hawaii,translate,definition
50,tell me how to say hello in spanish,bill_balance,translate
51,what do i say for goodbye in hawaii,restaurant_reviews,goodbye
60,how do you say it's snowing in german,greeting,translate
61,how would you say can i borrow five dollars in portuguese,travel_alert,translate
68,how would i say i love you if i were french,what_can_i_ask_you,translate
73,how do you say thank you in spanish,plug_type,translate
91,how do they say hello in france,bill_due,translate
102,transfer $20000 from my savings account to checking account,mpg,transfer
106,send 50 dollars between bank of america and chase accounts,order_checks,transfer
115,i need to transfer from this account to that one,credit_limit_change,transfer
131,i have to transfer ten dollars from my bank of america account to my capital one account,ingredient_substitution,transfer
132,send ten dollars from bank of america to capital one,spelling,transfer
141,transfer $10 from checking to savings,change_speed,transfer
143,please transfer 100 dollars between my amazon payments and savings accounts,ingredient_substitution,transfer
159,help me move my money,international_fees,transfer
180,transfer 100 dollars checking to savings,who_do_you_work_for,transfer
185,time to move some cash from one account to another,greeting,transfer
202,set a timer for 5 minutes,pto_request_status,timer
212,remind me in (x) hours,timer,reminder
218,i really need to set a timer,card_declined,timer
233,can you set a timer for two minutes,whisper_mode,timer
241,set a timer for two hours,credit_limit,timer
242,can you set a two hour timer,sync_device,timer
259,timer 5 minutes,book_flight,timer
266,timer 10 minutes,schedule_meeting,timer
291,set an alarm for nine minutes from now,sync_device,alarm
294,want 5 minute timer,card_declined,timer
297,"please, can you set the timer for me",change_speed,timer
301,what is regard mean,transactions,definition
302,what is the meaning of interorganizational,gas,definition
324,what is the meaning of altruism,account_blocked,definition
371,read me the definition of ajar,cancel_reservation,definition
373,can you show me the dictionary definition of ajar,credit_limit,definition
385,tell me what the word arboreal means,weather,definition
392,look up zesty in dictionary,restaurant_reviews,definition
411,what's the purpose of existence,whisper_mode,meaning_of_life
412,what's the purpose of life,pto_balance,meaning_of_life
434,what do you think is the meaning of like,meaning_of_life,definition
441,whats your take on the meaning of life,timezone,meaning_of_life
451,can you tell me life's meaning,no,meaning_of_life
458,"could you tell me the meaning of life, please",travel_suggestion,meaning_of_life
464,is there any meaning to being alive,change_user_name,meaning_of_life
465,what is the meaning of my life,lost_luggage,meaning_of_life
473,what is our purpose here on earth,change_accent,meaning_of_life
479,how would you describe what life means,user_name,meaning_of_life
483,what is the meaning of this life,jump_start,meaning_of_life
500,how to create a new aaa insurance plan,insurance_change,insurance
504,is new this a good insurance plan for me,insurance_change,insurance
505,what do i do to get new insurance,lost_luggage,insurance_change
510,how can i obtain new insurance,flip_coin,insurance_change
522,my insurance plan needs to be changed,bill_balance,insurance_change
523,what rental insurance policy do you recommend,order_checks,insurance
525,find the best life insurance for me,insurance_change,insurance
534,i would like to get a new insurance plan,update_playlist,insurance_change
540,how can i acquire new insurance,book_hotel,insurance_change
548,could you help me out with a new renters' insurance plan,insurance_change,insurance
573,how can i find out about new insurance,insurance_change,insurance
579,switch my insurance plan to a new one,change_volume,insurance_change
581,i want to shop for new insurance plans,restaurant_reviews,insurance_change
584,i would like to compare insurance plan options,insurance_change,insurance
586,i want to get a new car insurance plan,nutrition_info,insurance_change
588,i want a new policy with long-term care insurance,insurance_change,insurance
592,i am in need of a switch to my insurance plan,expiration_date,insurance_change
603,i can't find my cell and need help locating it,schedule_meeting,find_phone
633,can you call my cellphone,find_phone,make_call
637,"ai, i lost my phone, help me find it please",damaged_card,find_phone
644,find out where my phone is,meeting_schedule,find_phone
647,what is the location of my phone,book_flight,find_phone
654,please aid in my searching for my lost phone,thank_you,find_phone
655,please help me locate my phone,time,find_phone
670,can you track the location of my phone,spending_history,find_phone
673,do you know where i left my phone,are_you_a_bot,find_phone
691,i need some help finding my phone,exchange_rate,find_phone
696,i'd like help finding my fon,jump_start,find_phone
704,are there any travel alerts for north korea,traffic,travel_alert
711,is there a travel alert for scotland,uber,travel_alert
725,have there been any travel alerts issued for france,change_accent,travel_alert
748,is traveling to dublin safe (will dublin be safe),interest_rate,travel_alert
763,i am thinking of going to brazil and was wondering if that is hazardous,accept_reservations,travel_alert
766,what potential hazards are there for going to spain,goodbye,travel_alert
790,should i be worried about any travel alerts for that country,calories,travel_alert
792,is there a travel alert for that country,rewards_balance,travel_alert
798,search for travel alerts for kenya,calculator,travel_alert
805,schedule a pto request for me on march 1-2,min_payment,pto_request
812,i'd like for their to be a pto request for me made for the dates june 4th to june 8th,ingredient_substitution,pto_request
813,i'd like to go on vacation,order_status,travel_suggestion
814,create a pto request for march 21st to march 26th,restaurant_suggestion,pto_request
822,how do i use my vacation days,schedule_meeting,pto_balance
824,how can i schedule a vacation request,pto_request,pto_request_status
849,can you schedule a vacation for next week,pto_request,schedule_meeting
853,how do i book a vacation,pto_request,travel_suggestion
855,"i want to schedule a vacation, can i request that through you",pto_request,schedule_meeting
