label,val,train
accept_reservations,does spago in beverly hills allow customers to make reservations,i am thinking of going to brazil and was wondering if that is hazardous
account_blocked,my account looks to be blocked and i have no idea why,what is the meaning of altruism
alarm,i'd like alarms set for 11am and 132pm,what is your point of origin
application_status,what is the present status of my credit card application,when will my application for my credit card be processed
apr,is the apr on my card that ends 1234 what it should be based on my credit score,has the discover card approved my app
are_you_a_bot,are you secretly real,do you know where i left my phone
balance,do i have more than $100 in my pnc account,"can you tell me how i would say, 'more bread please' in french"
bill_balance,how much is my kill bill bill for,tell me how to say hello in spanish
bill_due,when do i need to pay my dte energy bill,how do they say hello in france
book_flight,can you find me a round trip flight from denver international to new york international on the 3rd through the 7th,timer 5 minutes
book_hotel,by chance would it be possible to reserve me a hotel in afghanistan at the zoo for the 10th to the 15th,how can i acquire new insurance
calculator,help me solve this math equation,search for travel alerts for kenya
calendar,what is tuesday's calendar like,tell me something interesting about sperm whales
calendar_update,"you can remove the field trip from my calendar for march 12, 2019",define thoroughbred
calories,what is the calorie content of lays chips,should i be worried about any travel alerts for that country
cancel,quit talking,"i think we should reserve dad's regular table friday for 6 people, use his name, make that close to 4:00 pm at the club"
cancel_reservation,i would like to cancel my reservation for nenuco's restaurant to x- tapas,read me the definition of ajar
car_rental,i need a car rental this week,where is your original location
card_declined,is there a reason my card was declined,i really need to set a timer
carry_on,can i take more than one carry on,when will my new visa get here
change_accent,will you please do the male british accent,what is our purpose here on earth
change_ai_name,can i start calling you dave,at what time will my flight land
change_language,i need new language,adjust your language setting to english
change_speed,can you speak more slowly,transfer $10 from checking to savings
change_user_name,will you start calling me chaz,is there any meaning to being alive
change_volume,make your volume quieter please,switch my insurance plan to a new one
confirm_reservation,please double check my reservations for six at mani,please call me johnny
cook_time,how long do i need to cook pot au feu for,flip a fair coin i win if it's tails
credit_limit,what is the limit on my victoria's secret card,set a timer for two hours
credit_limit_change,how do i change my credit limit,i need to transfer from this account to that one
credit_score,please lookup my experion credit score,can you tell me who created you
current_location,talk to me about where im at right now,is my paycheck arriving soon
damaged_card,my card was damaged by bleach,what spanish word means hello
date,give me the date,stop payments from my bank
definition,may i please have a definition for the work churlish,what is the meaning of realism
direct_deposit,how do i set up direct deposit for my first national account,you can refer to me as frank
directions,where is the closest subway entrance to me to go to brooklyn,are there ways for me to make my credit score better
distance,whats the travel time to redmond right now,can i request pto from march 9-16
do_you_have_pets,what type of pet is in your home,did they process the credit card i applied for
exchange_rate,how much is 100 dollars in euros,i need some help finding my phone
expiration_date,what is the date that my visa card expires,i am in need of a switch to my insurance plan
find_phone,please help me in finding my phone,i need help finding my mobile phone
flight_status,when is my flight going to board,what's a good trivia fact about china
flip_coin,flip a normal coin,how can i obtain new insurance
food_last,is my milk safe to drink after being in the refrigerator for a week,can you talk to me in chinese
freeze_account,may you stop a paymet on my account,toss a coin and tell me what it lands on
fun_fact,tell me something interesting about lake tahoe,lets hear an interesting fact about funko pops
gas,what is the gas level in my gas tank,what is the meaning of interorganizational
gas_type,what is the best type of gas for this car,when is payday
goodbye,see ya!,what potential hazards are there for going to spain
greeting,how ya doin,how do you say it's snowing in german
how_busy,how much to wait before dining in the jack in the box at 4 pm,what does 2 + 2 equal
how_old_are_you,what is your age again,you can call me steve
improve_credit_score,what are some ways to raise my credit score,what steps should i take to improve my credit score
income,what's my income before taxes,any idea where flight dl123 is right now
ingredient_substitution,would it be a problem to sub chips instead of fries,i have to transfer ten dollars from my bank of america account to my capital one account
ingredients_list,i need a list of ingredients required to make lamb stew,"i would like to have language set to spanish, please"
insurance,what is covered under my insurance,when will i recieve my next paycheck
insurance_change,explain how do i get new insurance,how to create a new aaa insurance plan
interest_rate,what kind of interest can i expect with my chase account,is traveling to dublin safe (will dublin be safe)
international_fees,does my visa have international transaction fees,help me move my money
