intent,text,description,nearest_label
accept_reservations,does spago in beverly hills allow customers to make reservations,Requests to determine if a specific restaurant or establishment allows reservations. Users may seek this information before attempting to book a table.,restaurant_reservation
account_blocked,my account looks to be blocked and i have no idea why,Requests for information about why a bank account or service has been blocked. Users may seek assistance in understanding the reason for the hold and how to resolve it.,card_declined
alarm,i'd like alarms set for 11am and 132pm,"Requests to set, update, or review alarms for specific times. Users may provide detailed instructions for single or multiple alarms across different time periods.",timer
application_status,what is the present status of my credit card application,"Requests for updates on the status of an application, such as a credit card or other formal process. Users may ask if their application has been approved, is under review, or requires additional action.",credit_limit_change
apr,is the apr on my card that ends 1234 what it should be based on my credit score,Requests for information about the Annual Percentage Rate (APR) on a credit card. Users may ask if the rate is appropriate based on their credit score or inquire about the APR for a specific card.,interest_rate
are_you_a_bot,are you secretly real,"Inquiries about the assistant's nature, existence, or whether it is a real-life entity. Users may ask about its origin, life form, or characteristics.",how_old_are_you
balance,do i have more than $100 in my pnc account,"Requests for account balance inquiries, such as checking if there is a specific amount available or knowing the total balance in one or more bank accounts.",transactions
bill_balance,how much is my kill bill bill for,"Requests for information about the outstanding balance on specific bills, such as utilities or credit cards. Users may inquire about the amount owed and due dates to manage their payments.",bill_due
bill_due,when do i need to pay my dte energy bill,Requests for details about due dates for bills or payments. Users may inquire about specific service providers or upcoming deadlines for their financial obligations.,bill_balance
book_flight,can you find me a round trip flight from denver international to new york international on the 3rd through the 7th,"Requests to find and book round-trip flights between specified airports on given dates. Users may provide details such as departure and return dates, origin and destination airports, and preferences for airlines or flight times.",flight_status
book_hotel,by chance would it be possible to reserve me a hotel in afghanistan at the zoo for the 10th to the 15th,"Requests to reserve a hotel or motel for specified dates and locations. Users may provide details about their preferences, such as the type of accommodation and duration of stay.",car_rental
calculator,help me solve this math equation,"Requests for assistance with mathematical calculations or solving equations. Users may ask for arithmetic operations, divisibility checks, or solutions to complex math problems.",taxes
calendar,what is tuesday's calendar like,"Requests for information about scheduled events, appointments, or availability on a specific date. Users may ask for a daily agenda or details about future or past dates.",meeting_schedule
calendar_update,"you can remove the field trip from my calendar for march 12, 2019","Requests to update or modify calendar entries, such as removing or editing specific events. Users may provide event details and dates for changes.",schedule_meeting
calories,what is the calorie content of lays chips,Requests for the calorie content or nutritional information of specific foods. Users may ask about packaged products or general ingredients to understand their dietary impact.,nutrition_info
cancel,quit talking,"Requests to stop or terminate an ongoing interaction or command. Users may ask to quit a conversation, eliminate a task, or cease communication.",make_call
cancel_reservation,i would like to cancel my reservation for nenuco's restaurant to x- tapas,"Requests to cancel an existing reservation, such as for a restaurant or event. Users may provide reservation details and expect confirmation of the cancellation.",confirm_reservation
car_rental,i need a car rental this week,"Requests to book or inquire about car rental services. Users may provide details such as location, dates, and preferred car models for rental arrangements.",book_hotel
card_declined,is there a reason my card was declined,Requests for information or reasons why a card transaction was declined. Users seek assistance in understanding the issue and resolving it to restore the card's functionality.,account_blocked
carry_on,can i take more than one carry on,"Requests for information about carry-on baggage policies, including the number of bags allowed or specific airline restrictions. Users may ask about rules for their upcoming trips.",lost_luggage
change_accent,will you please do the male british accent,"Requests to change the assistant's voice, including accents, gender, or tone. Users may ask for a specific accent or voice type for a personalized experience.",change_volume
change_ai_name,can i start calling you dave,Requests to personalize the assistant by changing its name. Users may propose a new name for the assistant and ask it to adopt it for future interactions.,change_user_name
change_language,i need new language,"Requests to change the system or application's language settings. Users may ask to switch to a specific language, such as English, or adjust the language preferences to enhance usability.",change_user_name
change_speed,can you speak more slowly,Requests to adjust the speed of the assistant's speech. Users may ask for slower or faster speech to improve comprehension or match their listening preferences.,change_volume
change_user_name,will you start calling me chaz,Requests to change the user's name or the way the assistant addresses them. Users may provide a new name they want to be called and expect the assistant to remember it in future interactions.,change_ai_name
change_volume,make your volume quieter please,Requests to adjust the assistant's speaking or audio output volume. Users may ask to increase or decrease the volume for better listening preferences.,change_speed
confirm_reservation,please double check my reservations for six at mani,"Requests to verify or confirm existing reservations, typically for dining or events. Users provide details about the reservation and ask for confirmation that it is correctly recorded.",restaurant_reservation
cook_time,how long do i need to cook pot au feu for,"Requests for cooking times or durations for specific dishes or recipes. Users may ask how long to bake, simmer, or prepare a dish for optimal results.",ingredients_list
credit_limit,what is the limit on my victoria's secret card,Requests for information about the credit limit on a specific card. Users may ask to verify their current credit limit or understand their financial boundaries.,credit_limit_change
credit_limit_change,how do i change my credit limit,Requests for assistance in changing or increasing a credit card's limit. Users may ask about the process or eligibility for adjustments.,credit_limit
credit_score,please lookup my experion credit score,Requests to retrieve or check the user's credit score from a credit bureau like Experian. Users may also inquire about the latest updates or changes to their credit rating.,improve_credit_score
current_location,talk to me about where im at right now,Requests for information about the user's current location. Users may inquire to confirm their geographic position or receive details about their surroundings.,share_location
damaged_card,my card was damaged by bleach,"Requests related to reporting and addressing a damaged card, such as one that has been physically altered, destroyed, or rendered unusable. Users may seek guidance on replacing the card.",report_lost_card
date,give me the date,Requests for the current date or information about today's calendar date. Users may inquire to confirm the date or reference it for scheduling purposes.,calendar
definition,may i please have a definition for the work churlish,"Requests for the meaning or definition of words. Users may inquire about the definitions of uncommon, complex, or unfamiliar terms, aiming to gain a clear understanding or contextual usage of the word in question.",spelling
direct_deposit,how do i set up direct deposit for my first national account,Requests for guidance on setting up direct deposit for a bank account. Users may ask for steps to enable automatic deposits from their employer or other sources.,order_checks
directions,where is the closest subway entrance to me to go to brooklyn,"Requests for navigation or location-based guidance. Users may inquire about the closest entrances, landmarks, or directions to a specified destination.",current_location
distance,whats the travel time to redmond right now,"Requests for travel time or distance to a specific location. Users typically seek estimates based on current traffic, routes, or modes of transportation to determine the time needed to reach their destination.",traffic
do_you_have_pets,what type of pet is in your home,"Requests to know if the assistant or its creators have pets, often asked out of curiosity or as a conversational topic.",what_are_your_hobbies
exchange_rate,how much is 100 dollars in euros,"Requests for the current exchange rate between two currencies. Users may inquire about specific conversions, such as USD to EUR or USD to CAD, for financial planning or travel.",interest_rate
expiration_date,what is the date that my visa card expires,Requests to know the expiration date of a credit or debit card. Users may ask for the specific month and year when the card expires.,replacement_card_duration
