intent,text,label
"A casual farewell or goodbye message, indicating the end of the interaction.",see ya!,goodbye
A casual greeting or expression of interest in how the assistant is doing.,how ya doin,greeting
A casual inquiry asking if the assistant has hobbies or interests.,do you have hobbies,what_are_your_hobbies
A casual query about the assistant’s age.,what is your age again,how_old_are_you
"A command to share the user’s current location with a specific person, such as Stan.",give my location to stan,share_location
A command to stop the current interaction or request the assistant to stop speaking.,quit talking,cancel
"A detailed question about actionable steps or strategies to improve their credit score, such as paying down debt, disputing errors, or managing credit utilization.",what are some ways to raise my credit score,improve_credit_score
"A general query about the capabilities of the assistant, seeking a list of categories or examples of questions they can ask.",what categories of questions can you answer,what_can_i_ask_you
A message of gratitude expressing thanks for help or assistance provided.,that you so much for the help,thank_you
"A query about the calorie content of a specific food item, such as Lay's chips.",what is the calorie content of lays chips,calories
"A query about the current balance of rewards or points associated with a specific credit card, such as Visa.",whats the reward balance for my visa,rewards_balance
A query about the current level of gas in the user’s car tank.,what is the gas level in my gas tank,gas
A query about the current weather conditions or forecast for a specific location.,what's is the current weather forecast,weather
"A query about the rules for carrying multiple items, such as bags, on a flight.",can i take more than one carry on,carry_on
"A query about the spending limit on a specific credit card, such as a Victoria’s Secret card.",what is the limit on my victoria's secret card,credit_limit
"A query about the type of power sockets or plugs used in a specific region, such as the US.",what kind of sockets do the us use,plug_type
"A query about the user’s income, typically before taxes.",what's my income before taxes,income
A query about visa requirements for traveling to a specific country.,"if i plan on travelling to this country, do i need a visa",international_visa
A query asking the assistant to identify the currently playing song.,whats this song,what_song
A query asking the assistant what name it goes by or how the user can address it.,what may i call you,what_is_your_name
"A query to convert measurements, such as pints to quarts or other units.",what is the total number of pints in two quarts,measurement_conversion
"A query to retrieve the user’s credit score from a specific credit reporting agency, like Experian.",please lookup my experion credit score,credit_score
"A question about obtaining a W-2 form, typically for tax purposes, including the process or source to acquire it.","i need a w2 form, how do i get one",w2
"A question about the appropriate timing for an oil change, either based on mileage or time.",when is it time to change your oil,oil_change_when
"A question about the coverage details of the user’s insurance policy, such as what is included or excluded.",what is covered under my insurance,insurance
"A question about the creator or developer of the assistant, reflecting curiosity about its origin or purpose.",who is your designer,who_made_you
"A question about the safety of consuming food, such as milk, based on how long it has been stored.",is my milk safe to drink after being in the refrigerator for a week,food_last
"A question about whether a particular restaurant accepts reservations, such as Spago in Beverly Hills.",does spago in beverly hills allow customers to make reservations,accept_reservations
"A request for guidance on setting up direct deposit, possibly for a specific bank account.",how do i set up direct deposit for my first national account,direct_deposit
A request for help with resetting or changing a PIN for a bank account.,"i forgot my pin number for my credit union bank account, can you help",pin_change
A request for instructions on how to change or increase the credit limit on their account.,how do i change my credit limit,credit_limit_change
"A request for meal suggestions, such as a Chinese dish recommendation.",can you give me a chinese meal suggestion,meal_suggestion
A request for the assistant to share a joke or something funny.,what's the funniest thing you've got,tell_joke
"A request for the cooking time required to prepare a specific dish, like pot-au-feu.",how long do i need to cook pot au feu for,cook_time
"A request for the current date, often to check the day or align plans.",give me the date,date
"A request for the current timezone of a specified location, helping the user align their plans or understand time differences.",what is the timezone of saigon,timezone
"A request for the full list of ingredients needed to prepare a specific dish, like lamb stew.",i need a list of ingredients required to make lamb stew,ingredients_list
A request for the total amount due on a specific bill.,how much is my kill bill bill for,bill_balance
"A request to add a song to a specific playlist, such as ""travel.""",add this song to travel,update_playlist
"A request to adjust the assistant’s speaking volume, typically to make it quieter.",make your volume quieter please,change_volume
"A request to arrange a car rental for a specific time, such as the current week.",i need a car rental this week,car_rental
"A request to book a maintenance appointment, such as an oil change, at the earliest available time.",i'd like an appointment at your earliest availability for an oil change,schedule_maintenance
"A request to book a round-trip flight, specifying dates and locations, such as Denver to New York.",can you find me a round trip flight from denver international to new york international on the 3rd through the 7th,book_flight
"A request to display a list of recent transactions, specifically focused on video game purchases.",show all purchases of video games,transactions
"A request to enable whisper mode, where the assistant speaks more quietly.",set up whisper mode,whisper_mode
"A request to know the date of the last maintenance activity, such as getting new tires.","on what day, month and year did i get new tires",last_maintenance
A request to know the number of vacation or paid time off (PTO) days the user has saved up.,how many vacation days have i saved up,pto_balance
"A request to order more checks, as the user has run out.",i need more checks because i am out,order_checks
"A request to place a phone call to a specific person, such as Alex.",call alex,make_call
"A request to place an order for a specific item, such as more bread.",order more bread please,order
"A request to provide nutritional information or health-related details about a specific dish, like shepherd’s pie.",how healthy is shepard's pie,nutrition_info
